"Lon";"Lat"
7423946,9657333;5547630,89106544
7425711,25222049;5549721,96749575
7424487,25636914;5547239,20340093
7423697,14177159;5551643,32814734
7429795,08847591;5550215,74830577
7424321,49468604;5547984,29994398
7422929,80661355;5545480,68521884
7424427,45734834;5546738,26653204
7427051,07902788;5551555,52664928
7423885,67201055;5547557,66078397
7423741,96124389;5548126,12938729
7424265,85531566;5548098,68415699
7428623,18238279;5549882,9408396
7422319,37141122;5546798,37342953
7427666,0119211;5551385,28963119
7425634,77821636;5539717,96924406
7423710,95604196;5547182,02488525
7424192,37111107;5547947,97266331
7427051,07902788;5551555,52664928
7424348,68745527;5548294,17558932
7424226,44987504;5545702,74984773
7423287,89712846;5549432,44344169
7423803,37427611;5547875,88543393
7428728,14386002;5549326,14507416
7431070,75398058;5548979,16465655
7423806,1722706;5546912,80043121
7423925,12060638;5547552,31079074
7432805,82614862;5551470,5090354
7424775,32871329;5543858,21949799
7422964,28074502;5546012,83294964
7423754,04449306;5546833,33833051
7423570,75043017;5546192,43069739
7429795,08847591;5550215,74830577
7422437,66566723;5547431,41916939
7427044,9748854;5551556,8792374
7422145,41213582;5544965,39626688
7423637,7448115;5547389,85154905
7423476,80076971;5546194,70859573
7424512,92442279;5548377,5216458
7424784,95949549;5548623,51328169
7423962,69634321;5547892,38482979
7424618,28979677;5547793,68141394
7430111,05354553;5551282,1951433
7423453,66088956;5548022,02516747
7422107,53434976;5547787,36524587
7423490,33227157;5547129,44329871
7424266,96522564;5546284,90346385
7422892,86006683;5549749,02831206
7423625,53673804;5547193,20172733
7425566,09017253;5541899,18731725
7428264,31103321;5545700,7198957
7424387,64594342;5547687,05845352
7423490,33227157;5547129,44329871
7428972,05637423;5549508,34771925
7425908,4061463;5545406,59215031
7424063,62467045;5546649,17496075
7424014,81173287;5547825,67853194
7423803,37427611;5547875,88543393
7422799,82475992;5549990,16033734
7422972,12078581;5546009,51527006
7423931,89284746;5547824,91466974
7424849,45419687;5548525,0075684
7424728,27788175;5546552,54623845
7425740,29573467;5545953,96062678
7424496,48563609;5546918,75971056
7430045,63412518;5551205,21867177
7424321,49468604;5547984,29994398
7424470,74874038;5546754,6439867
7424035,74509877;5548850,97872509
7423885,67201055;5547557,66078397
7430847,46505948;5549486,14034629
7421941,45491551;5548552,1267428
7424891,53239673;5548421,89394028
7424031,31812352;5548212,58106837
7425490,40010382;5547282,23640461
7423644,35969427;5548093,72333534
7423996,1559194;5547555,80977861
7423876,47368078;5547423,65971931
7423763,52723815;5550337,15633271
7424633,51084217;5546560,19616998
7427914,3332828;5544667,59900411
7421895,85586774;5546932,72949761
7426995,50324736;5545984,2545926
7422011,7859799;5546004,65564766
7424503,50828;5545851,77836912
7423236,72429671;5547276,38965328
7423201,3471384;5547280,4459064
7430898,74610046;5548679,91484541
7424097,34111502;5547752,66099338
7422933,16910012;5545477,86914023
7425039,04645505;5548637,21496071
7423925,93477027;5547549,63499709
7420021,14703633;5550123,26969993
7424012,15985239;5547528,34960388
7424153,09825543;5550576,93018565
7424849,45419687;5548525,0075684
7424281,78006311;5548258,08470549
7424681,07057172;5547662,52235385
7429679,26894554;5551716,08991663
7425670,62028971;5550923,22910221
7423748,72186651;5550664,06016705
7425784,62099584;5545460,04860028
7423938,66971239;5547567,09672073
7424519,85161777;5546788,80501418
7431282,3748252;5544336,16236665
